Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"15572 MAT 103 2","Statistical Reasoning","4","S Jani","","MWF","10:00","10:50A","LECTURE"
"15576 MAT 107 1","Mathematics Elementary Teachrs","4","S Jani","","MW","1 :00","2 :15P","LECTURE"
"15578 MAT 108 1","Essential Math","4","S Boyd","","MWF","11:00","11:50A","LECTURE"
"15579 MAT 109 1","Precalculus Mathematics","4","P Yazdanbakhshghahyazi","","MWF","11:00","11:50A","LECTURE"
"15580 MAT 111 1","Calculus I","4","S Jani","","MWF","11:00","11:50A","LECTURE"
"15581 MAT 112 1","Calculus II","4","Z Teymuroglu","","MWF","11:00","11:50A","LECTURE"
"15582 MAT 140 1","Intro to Discrete Mathematics","4","S Boyd","","MWF","12:00","12:50P","LECTURE"
"16266 MAT 195 1","Topics: Math in Motion","4","Z Teymuroglu","","MWF","10:00","10:50A","LECTURE"
"15585 MAT 211 1","Calculus III","4","P Yazdanbakhshghahyazi","","MWF","12:00","12:50P","LECTURE"
"15586 MAT 230 1","Linear Algebra","4","P Yazdanbakhshghahyazi","","MWF","10:00","10:50A","LECTURE"
"15587 MAT 340 1","Models/Algorithms Graph Theory","4","M Anderson","","TR","11:00","12:15P","LECTURE"
"15588 MAT 455 1","Real Analysis","4","M Anderson","","TR","09:30","10:45A","LECTURE"
"16099 MAT 490 1","Topics: Math for Industry","4","Z Teymuroglu","","F","1 :00","3 :30P","LECTURE"
"16007 MUS 152 1","Theory II","4","D Crozier","KEENE 101","MWF","10:00","10:50A","LECTURE"
"16011 MUS 154 1X","Keyboard Harmony II","2","S Kim J Raspolich","KEENE 104 KEENE 104","T R","09:30","10:45A 09:30","LECTURE"
"16014 MUS 154 2X","Keyboard Harmony II","2","S Kim J Raspolich","KEENE 104 KEENE 104","T R","11:00","12:15P 11:00","LECTURE"
"16016 MUS 154 H1X","Keyboard Harmony II","2","S Kim J Raspolich","KEENE 104 KEENE 104","T R","2 :00","3 :15P 2 :00","LECTURE"
"16017 MUS 154 H2X","Keyboard Harmony II","2","S Kim J Raspolich","KEENE 104 KEENE 104","T R","3 :30","4 :45P 3 :30","LECTURE"
"16020 MUS 227 1X","Song Writing I","4","D Flick","KEENE 101","MWF","1 :00","2 :15P","LECTURE"
"16021 MUS 252 1","Theory 4","4","D Crozier","KEENE 101","MWF","11:00","11:50A","LECTURE"
"16023 MUS 301 1X","Recording Practicum","2","C Shelton","KEENE","F","2 :00","4 :30P","LECTURE"
"16024 MUS 317 1X","Music Technology II","4","C Shelton","KEENE 104","MW","2 :30","3 :45P","LECTURE"
"16025 MUS 324 1X","German and French Diction","2","C Mohr","KEENE 103","MW","11:00","11:50A","LECTURE"
"16026 MUS 330 1X","Jazz Vision","4","C Archard","KEENE 103","TR","11:00","12:15P","LECTURE"
"16028 MUS 339 1X","Health & the Musician","4","C Mohr","KEENE 103","MWF","10:00","10:50A","LECTURE"
"16027 MUS 340 1X","Methods: Percussion","2","J Katalenic","KEENE 102","M","1 :00","2 :15P","LECTURE"
"16029 MUS 355 1X","Composition Practicum","2","D Crozier","","TBA","","","LECTURE"
"16030 MUS 362 1","Music Hist: Classic to Modern","4","M Breckling","KEENE 101","TR","11:00","12:15P","LECTURE"
"16032 MUS 375 1X","Music Business & Music Mrkting","4","C Archard","KEENE 101","TR","2 :00","3 :15P","LECTURE"
"16144 MUS 383 1X","String Pedagogy","4","J Roos","KEENE 119","MW","1 :00","2 :15P","LECTURE"
"16034 MUS 389 1X","Pedagogy: Singing Voice","4","J Grau","KEENE 103","TR","3 :30","4 :45P","LECTURE"
"16035 MUS 391 1X","Conducting Practicum","2","J Sinclair","","TBA","","","LECTURE"
"16033 MUS 393 1X","Piano Pedagogy I","4","S Kim","KEENE 101","MW","2 :30","3 :45P","LECTURE"
"16036 MUS 395 1X","Topic: Jazz Theory","4","C Shelton","KEENE 103","MW","1 :00","2 :15P","LECTURE"
"16038 MUS 455 1X","Paris Moscow Vienna: 1890-1915","4","D Crozier","KEENE 101","TR","3 :30","4 :45P","LECTURE"
"16040 MUS 485 1X","Senior Project","4","M Breckling","KEENE 103","TR","2 :00","3 :15P","LECTURE"
"15951 INT 496 1","Adv Seminar in Neuroscience","2","S St. John","","TR","09:30","10:45A","LECTURE"
"15985 PHI 103 1","Intro to Philosophy","4","R Putzer","KMC 1","TR","2 :00","3 :15P","LECTURE"
"15986 PHI 108 1","Ethics","4","L Musgrave","","MW","4 :00","5 :15P","LECTURE"
"16187 PHI 223 1","Intro to Formal Logic","4","R Putzer","KWR 310","TR","09:30","10:45A","LECTURE"
"16101 PHI 226 1","Philosophy of Education","4","L Musgrave","","MW","1 :00","2 :15P","LECTURE"
"15988 PHI 231 1","Hist of Modern Philosophy","4","R Putzer","KMC 1","TR","11:00","12:15P","LECTURE"
"16238 PHI 250 1","Dreams and Demons","4","M McLaren","CSS 134","TR","11:00","12:15P","LECTURE"
"16186 PHI 290 1","Medical Ethics","4","T Cook","","MW","1 :00","2 :15P","LECTURE"
"15993 PHI 312 1","Feminist Theory","4","M McLaren","SULLV HSE","W","6 :00","8 :30P","LECTURE"
"16100 PHI 395 1","Topics: Jane Addams","4","L Musgrave","","MW","2 :30","3 :45P","LECTURE"
"16102 PHI 395 2","Topics: Cynics & Stoics","4","S Rubarth","","MW","4 :00","5 :15P","LECTURE"
"15995 PHI 490 1","Senior Seminar: Jane Addams","4","L Musgrave","","MW","2 :30","3 :45P","LECTURE"
"15997 REL 113 1","Asian Religions","4","J Liu","","MW","2 :30","3 :45P","LECTURE"
"16105 REL 195 1","Topics: Sports and Religion","4","T French","","TR","2 :00","3 :15P","LECTURE"
"16257 REL 195 2","Topics: Magic and Medicine","4","J Liu","","MW","4 :00","5 :15P","LECTURE"
"15999 REL 217 1","Jewish Life & Thought","4","Y Greenberg","SULLV HSE","TR","11:00","12:15P","LECTURE"
"16247 REL 295 1","Topics: Daoism: The Basics","4","J Liu","","MW","1 :00","2 :15P","LECTURE"
"16185 REL 350 1","Religion and Food","4","Y Greenberg","","W","1 :00","3 :30P","LECTURE"
"16283 REL 395 1","Topics: Sports and Religion","4","T French","","TR","2 :00","3 :15P","LECTURE"
"16285 REL 395 2","Topics: Magic and Medicine","4","J Liu","","MW","4 :00","5 :15P","LECTURE"
"15553 PHY 121 1","General Physics II","6","A Cannaday","BUSH 164 BUSH 180","MWF T","10:00","10:50A 2 :00","LECTURE"
"15548 PHY 131 1","Principles of Physics II","6","W Coyle","BUSH 180 BUSH 180","MWF M","10:00","10:50A 2 :30","LECTURE"
"15550 PHY 221 1","Math Methods Physical Sci II","4","S Fonseca Douguet","BUSH 180","TR","11:00","12:15P","LECTURE"
"16168 PHY 295 1","Tc: App Electronics & Embd Sys","4","W Coyle","BUSH 160","MW","1 :00","2 :15P","LECTURE"
"15552 PHY 300 1","Thermodynamics","4","A Cannaday","BUSH 164","MWF","09:00","09:50A","LECTURE"
"15551 PHY 451 1","Quantum Mechanics","4","C Fuse","BUSH 164","MWF","11:00","11:50A","LECTURE"
"15715 POL 100 1","Intro to Comparative Politics","4","T Rahman","","MWF","11:00","11:50A","LECTURE"
"15716 POL 100 2","Intro to Comparative Politics","4","D Boniface","","MWF","10:00","10:50A","LECTURE"
"15717 POL 130 1","Intro International Politics","4","M Gunter","","TR","11:00","12:15P","LECTURE"
"15718 POL 160 1","Intro to American Politics","4","P Rickert","","MWF","12:00","12:50P","LECTURE"
"15719 POL 160 2","Intro to American Politics","4","J Lin","CSS 232","TR","08:00","09:15A","LECTURE"
"15720 POL 220 1","Problems in Political Thought","4","J Maskivker","","MWF","12:00","12:50P","LECTURE"
"15730 POL 240A 1","Quantitative Analysis","4","J Lin","CSS 232","MW","2 :30","3 :45P","LECTURE"
"15721 POL 302 1","Politics of Global Poverty","4","D Chong","","TR","2 :00","3 :15P","LECTURE"
"15723 POL 309 1","Global Democratization","4","D Boniface","","MW","1 :00","2 :15P","LECTURE"
"15724 POL 312 1","Problems of Latin America","4","D Boniface","","MW","4 :00","5 :15P","LECTURE"
"15726 POL 318 1","Applied Political Ethics","4","J Maskivker","","MWF","10:00","10:50A","LECTURE"
"16216 POL 332 1","International Human Rights","4","D Chong","","TR","11:00","12:15P","LECTURE"
"15731 POL 333 1","Sustainable Development Cases","4","M Gunter","","TR","2 :00","3 :15P","LECTURE"
"15727 POL 343 1","The American Presidency","4","P Rickert","","MWF","10:00","10:50A","LECTURE"
"15725 POL 395 1","Tpcs Pol Thry: Work & Society","4","J Maskivker","","F","1 :00","3 :30P","LECTURE"
"16124 POL 453 1","IR Senior Seminar","4","T Rahman","","MW","1 :00","2 :15P","LECTURE"
"15729 POL 481 1","Sem in American Politics","4","P Rickert","","MW","2 :30","3 :45P","LECTURE"
"15914 PSY 101 1","Intro to Psychology","4","E Slifkin","","MWF","11:00","11:50A","LECTURE"
"15915 PSY 101 2","Intro to Psychology","4","L Held","","TR","3 :30","4 :45P","LECTURE"
"15916 PSY 155 1","Perspectives in Psychology II","4","R Yankelevitz","","MW","2 :30","3 :45P","LECTURE"
"15917 PSY 155 2","Perspectives in Psychology II","4","J Queen","","MW","2 :30","3 :45P","LECTURE"
"15918 PSY 155 3","Perspectives in Psychology II","4","S St. John","","MW","2 :30","3 :45P","LECTURE"
"15954 PSY 225 1","Careers in Psychology","2","L Held","","T","09:30","10:45A","LECTURE"
"15919 PSY 250 1","Stats & Rsch Meth I w/Lab","4","J Houston","","TR","11:00","12:15P","LAB"
"15920 PSY 250 2","Stats & Rsch Meth I w/Lab","4","A Davidson","","TR","11:00","12:15P","LAB"
"15921 PSY 250L 1","Stats & Rsch Meth I Lab","2","J Houston","","TR","2 :00","3 :15P","LAB"
"15922 PSY 250L 2","Stats & Rsch Meth I Lab","2","A Davidson","","TR","2 :00","3 :15P","LAB"
"15923 PSY 255 1","Stats & Rsch Meth II w/Lab","4","P Harris","","TR","11:00","12:15P","LAB"
"15924 PSY 255 2","Stats & Rsch Meth II w/Lab","4","J Queen","","TR","11:00","12:15P","LAB"
"15925 PSY 255L 1","Stats & Rsch Meth II Lab","2","P Harris","","TR","2 :00","3 :15P","LAB"
"15926 PSY 255L 2","Stats & Rsch Meth II Lab","2","J Queen","","TR","2 :00","3 :15P","LAB"
"15927 PSY 309 1","DV: Adolescent Development","4","A Davidson","","TR","08:00","09:15A","LECTURE"
"15928 PSY 314 1","CN: Sensation-Perception","4","E Slifkin","","MW","1 :00","2 :15P","LECTURE"
"15929 PSY 314L 1","CN: Sensation-Perception Lab","2","E Slifkin","","MW","2 :30","3 :45P","LAB"
"16284 PSY 314L 2","CN: Sensation-Perception Lab","2","E Slifkin","","TR","11:00","12:15P","LAB"
"15930 PSY 319 1","IS: Psychology of Work","4","J Houston","","MW","4 :00","5 :15P","LECTURE"
"15931 PSY 320 1","IS: Psychotherapy w/Lab","4","A Luchner","","TR","11:00","12:15P","LAB"
"15932 PSY 320L 1","IS: Psychotherapy Lab","2","A Luchner","","TR","3 :30","4 :45P","LAB"
"15935 PSY 327 1","BB: Psychoactive Drugs","4","S St. John","","MWF","12:00","12:50P","LECTURE"
"15936 PSY 328 1","DV:Developmental Psy W/lab_CE","4","L Held","HUME 101","MW","1 :00","2 :15P","LAB"
"15937 PSY 328L 1","DV:Developmental Psy Lab_CE","2","L Held","HUME 101","W","09:00","10:50A","LAB"
"15938 PSY 328L 2","DV:Developmental Psy Lab_CE","2","L Held","HUME 101","W","10:00","11:50A","LAB"
"15912 PSY 330 H1X","Organization Behavior (IC)(IS)","4","N Steigerwald","","R","6 :00","8 :30P","LECTURE"
"15943 PSY 341 1","BB: Learning w/Lab","4","R Yankelevitz","BUSH 274","TR","2 :00","3 :15P","LAB"
"15944 PSY 341L 1","BB: Learning Lab","2","R Yankelevitz","BUSH 274","TR","3 :30","4 :45P","LAB"
"15947 PSY 350 1","Science of Compassion (IS)","4","S Dunn","","MW","4 :00","5 :15P","LECTURE"
"15911 PSY 350 H1X","Sci. of Compassion (IC/TB)(IS)","4","S Dunn","","MW","6 :00","7 :15P","LECTURE"
"15948 PSY 395 1","Topics: CN: Law and Psychology","4","E Slifkin","","MWF","10:00","10:50A","LECTURE"
"16111 PSY 395 1X","Topic: Sports Psych (IC;IS)","4","T Langley","","MW","4 :00","5 :15P","LECTURE"
"15949 PSY 495 1","Sr Sem:Indiv-Social Psych","4","S Dunn","","MWF","11:00","11:50A","LECTURE"
"15950 PSY 495 2","Sr Sem:Indiv-Social Psych","4","P Harris","","TR","09:30","10:45A","LECTURE"
"16203 RCC 100 1","College Crash Course","4","M Perez","","MWF","09:00","09:50A","LECTURE"
"16202 RCC 200 1","Rollins Transition Seminar","2","K Murphy","","W","09:00","09:50A","LECTURE"
"16051 SWAG 205 1","Intro Sex, Wmn, Gender Stds","4","J Eisele","","M","1 :00","3 :30P","LECTURE"
"15595 SE 100 1","Soc Entrepreneur: Lead Change","4","A KatunWilliams","","MWF","10:00","10:50A","LECTURE"
"15596 SE 100 2","Soc Entrepreneur: Lead Change","4","A KatunWilliams","","MWF","11:00","11:50A","LECTURE"
"15597 SE 220 1","Global Dev: Challenge/Opportun","4","T Warnecke","","MW","1 :00","2 :15P","LECTURE"
"15598 SE 295 1","Topic: BusPlan/ImpVentureCreat","4","W Mswaka","","TR","11:00","12:15P","LECTURE"
"15600 SE 315 1","Ethical Sourcing:People&Planet","4","W Mswaka","","TR","08:00","09:15A","LECTURE"
"15601 SE 320 1","Strategies for Changemakers","4","A KatunWilliams","","TR","2 :00","3 :15P","LECTURE"
"15602 SE 333 1","Sales & Negotiations for SE","4","A KatunWilliams","","MW","2 :30","3 :45P","LECTURE"
"15603 SE 345 1","Financing Soc Entrepreneurship","4","A Samaniego Diaz","","MWF","11:00","11:50A","LECTURE"
"16151 SE 395 1","Tpc:Branding for Social Impact","4","A Samaniego Diaz","","MWF","12:00","12:50P","LECTURE"
"15604 SE 440 1","Planning/ Implement for SE","4","W Mswaka","","MW","1 :00","2 :15P","LECTURE"
"16019 SOC 111 1","Social Problems","4","M Nichter","","MW","2 :30","3 :45P","LECTURE"
"16039 SOC 111 2","Social Problems","4","M Nichter","","MW","4 :00","5 :15P","LECTURE"
